GENERO,ADMINISTRACAO,ALGORITMOS_DE_PROGRAMACAO,ALGORITMOS_DE_PROGRAMACAO_I,ALGORITMOS_DE_PROGRAMACAO_II,ALGORITMOS_E_PROGRAMACAO_DE_COMPUTADORES,ANALISE_E_PROJETO_DE_SISTEMAS,ANALISE_E_PROJETO_DE_SISTEMAS_I,ANATOMIA_GERAL_E_PRIMEIROS_SOCORROS,ANATOMIA_VETERINARIA_,ANTROPOLOGIA_E_SOCIOLOGIA,ANTROPOLOGIA_SOCIOLOGIA_E_SAUDE_DO_AMBIENTE_,APLICATIVOS_MOVEIS,ARQUITETURA_DE_COMPUTADORES,ARQUITETURA_DE_REFERENCIA_PARA_OS_NEGOCIOS,ARQUITETURA_E_ORGANIZACAO_DE_COMPUTADORES,ATIVIDADE_FISICA_E_APTIDAO_FISICA,ATIVIDADES_AQUATICAS_I,ATIVIDADES_GINASTICAS_-_ARTISTICA_E_RITMICA,ATIVIDADES_RITMICAS_E_DANCA,BANCO_DE_DADOS,BANCO_DE_DADOS_I,BEM_ESTAR_ANIMAL,BIOLOGIA_CELULAR_HISTOLOGIA_E_EMBRIOLOGIA_VETERINARIA,BIOQUIMICA_VETERINARIA_,BIOTERISMO,BUSINESS_ANALYTICS,CALCULO_DIFERENCIAL_E_INTEGRAL,CALCULO_DIFERENCIAL_E_INTEGRAL_I,CALCULO_DIFERENCIAL_E_INTEGRAL_II,CIENCIA_DOS_MATERIAIS,COMPORTAMENTO_HUMANO_NAS_ORGANIZAC†ES,COMPUTACAO_GRAFICA,COMUNICACAO_E_CULTURA_DIGITAL,COMUNICACAO_E_EXPRESSAO,COMUNICACAO_EMPRESARIAL,COMUNICACAO_EMPRESARIAL_E_PROFISSIONAL,COMUNICACAO_INSTITUCIONAL,COMUNICACAO_PROFISSIONAL,CONTABILIDADE_BASICA_E_GESTAO_DE_CUSTOS,CONTABILIDADE_E_ANALISE_DE_CUSTOS,CRIATIVIDADE_E_EXPRESSAO,CULTURA_STARTUP,DEONTOLOGIA_E_ETICA_PROFISSIONAL,DESENHO_TECNICO,DESENVOLVIMENTO_DE_SISTEMAS_COM_PHP,DESENVOLVIMENTO_DE_SOFTWARE,DESENVOLVIMENTO_E_APRENDIZAGEM_MOTORA,DESENVOLVIMENTO_GERENCIAL,DESENVOLVIMENTO_PESSOAL,DESIGN_DE_INTERACAO,DIREITO_E_LINGUAGEM,DIREITO_E_PSICOLOGIA,ECONOMIA_E_NEGOCIOS_INTERNACIONAIS,ELETRICIDADE,ELETRICIDADE_E_ELETROMAGNETISMO,ELETRONICA_ANALOGICA,ELETRONICA_DIGITAL,EMPREENDEDORISMO_E_PLANO_DE_NEGOCIOS,EMPREENDEDORISMO_I,ENGENHARIA_DE_SOFTWARE,EPISTEMOLOGIA_FILOSOFIA_POLITICA_E_TEORIAS_DA_JUSTICA,ESPORTE_COLETIVO_-_BASQUETE,ESPORTE_COLETIVO_-_HANDEBOL,ESPORTE_COLETIVO_-_VOLEIBOL,ESTATISTICA,ESTRATEGIAS_DE_PRODUCAO_INDUSTRIAL,ESTRUTURA_DE_DADOS_I,ESTRUTURA_DE_DADOS_II,FILOSOFIA_E_ETICA,FISICA_A,FISICA_I,FISICA_II,FISICA_PARA_JOGOS_DIGITAIS,FISIOLOGIA_HUMANA_E_BIOQUIMICA,FOTOJORNALISMO,FUNDAMENTOS_DA_ADMINISTRACAO,FUNDAMENTOS_DA_ENGENHARIA_DE_PRODUCAO,FUNDAMENTOS_DA_MATEMATICA,FUNDAMENTOS_DE_ADMINISTRACAO,FUNDAMENTOS_DE_SISTEMAS_DE_INFORMACAO,GENETICA_APLICADA_ú_MEDICINA_VETERINARIA_,GEOMETRIA_ANALITICA_E_ALGEBRA_LINEAR,GESTAO_COMERCIAL,GESTAO_DE_PROJETOS,GESTAO_DE_SISTEMAS_DE_INFORMACAO,GESTAO_ESTRATEGICA_DE_EMPREENDIMENTOS,GOVERNANCA_DE_TI,HISTORIA_CONTEMPORANEA_DO_BRASIL,HISTORIA_DA_ARTE_E_DA_CULTURA,HISTORIA_DA_COMUNICACAO,HUMANIDADES,INFRAESTRUTURA_TECNOLOGICA,INTRODUCAO_ú_ENGENHARIA,INTRODUCAO_ú_ENGENHARIA_,INTRODUCAO_ú_ENGENHARIA_DA_COMPUTACAO,INTRODUCAO_ú_MEDICINA_VETERINARIA_E_ZOOTECNIA,INTRODUCAO_ú_PROGRAMACAO,INTRODUCAO_AO_JORNALISMO_E_LEGISLACAO,JORNALISMO_DIGITAL_I,JORNALISMO_GRAFICO_I,LIBRAS,LINGUA_PORTUGUESA_I,LINGUA_PORTUGUESA_II,LINGUAGEM_DE_PROGRAMACAO_EM_C,LINGUAGEM_DE_PROGRAMACAO_I,LINGUAGEM_DE_PROGRAMACAO_II,LOCALIZACAO,LOCALIZACAO_AVANCADA,LOGICA_MATEMATICA,LOGICA_MATEMATICA_I,LOGICA_MATEMATICA_II,MARKETING_E_GESTAO_DE_QUALIDADE_EM_HOSPITALIDADE,MATEMATICA,MATEMATICA_APLICADA,MATEMATICA_APLICADA_AOS_NEGOCIOS,MATEMATICA_DISCRETA,MEDIC†ES_E_CALIBRACAO,METODOLOGIA_CIENTIFICA,METODOLOGIA_DE_PROJETOS,METODOLOGIA_DO_TRABALHO_ACADEMICO,METODOS_QUANTITATIVOS_I,NOVO_AMBIENTE_ORGANIZACIONAL,NUTRICAO_E_DIETETICA,OFICINA_DE_BANCO_DE_DADOS,OFICINA_DE_MATEMATICA,OFICINA_DE_PROGRAMACAO_I,OFICINA_DE_PROGRAMACAO_II,ORIENTACAO_A_OBJETOS,PESSOAS_BENS_E_NEGOCIO_JURIDICO,PLANEJAMENTO_ARQUITETONICO_E_MANUTENCAO,PLANEJAMENTO_E_ORGANIZACAO_DE_EVENTOS,PLANEJAMENTO_GRAFICO,POLITICA_ESTADO_E_CONSTITUICAO,PRATICAS_DE_COZINHA_E_PRODUCAO_DE_ALIMENTOS_E_BEBIDAS,PRE-CALCULO,PRODUCAO_MULTIMIDIA,PROGRAMACAO_DE_COMPUTADORES,PROGRAMACAO_E_CALCULO_NUMERICO,PROGRAMACAO_I,PROGRAMACAO_II,QUIMICA_TECNOLOGICA,RACIOCINIO_LOGICO,RADIOJORNALISMO_I,REDACAO_JORNALISTICA,REDE_DE_COMPUTADORES_I,REDES_DE_COMPUTADORES,REPRESENTACAO_E_MODELAMENTO_GEOMETRICO,SAUDE_PUBLICA_APLICADA_ú_MEDICINA_VETERINARIA,SEGURANCA_E_HIGIENE_DE_ALIMENTOS,SISTEMAS_CONVERGENTES,SISTEMAS_CORPORATIVOS,SISTEMAS_DE_INFORMACAO,SISTEMAS_EMBARCADOS,SISTEMAS_EMBARCADOS_I_,SISTEMAS_FINANCEIROS,SISTEMAS_OPERACIONAIS,SISTEMAS_OPERACIONAIS_I,SISTEMAS_OPERACIONAIS_II,SOCIOLOGIA_DA_COMUNICACAO,TECNICA_HOSPITALAR_VETERINARIA,TECNICAS_DE_APURACAO,TECNICAS_DE_SERVICO_EM_HOSPITALIDADE,TELEJORNALISMO_I,TEORIA_E_HISTORIA_DO_DIREITO,TEORIA_GERAL_DA_ADMINISTRACAO,TEORIAS_DA_COMUNICACAO,TOPICOS_ESPECIAIS_EM_SOFTWARE,TOPOGRAFIA,TRABALHO_DE_CONCLUSAO_DE_CURSO,TRABALHO_DE_ENGENHARIA_DA_COMPUTACAO,TRABALHO_INTERDISCIPLINAR_I,Situacao
M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,Evadido
M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,Evadido
M,?,?,?,?,?,?,?,?,?,?,?,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,2.871428571,?,?,?,?,?,?,3.05,?,?,?,?,?,?,?,?,?,3.277777778,?,0,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.45,?,?,?,?,?,?,?,?,?,?,?,3.7375,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,7.8,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,3.675,0,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.2375,?,?,?,Evadido
M,?,6.3,?,?,?,?,?,?,?,?,?,?,?,?,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.05,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8.45,?,?,?,?,?,?,?,?,?,?,?,?,7,0,?,?,?,?,4.7,?,5.8,?,?,?,?,?,?,?,2.5,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.6,?,?,?,?,?,?,Evadido
M,?,?,?,?,?,?,?,?,?,?,?,?,8,7.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,5,0,?,?,?,?,?,?,?,?,?,?,7.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,0,7.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,7.3,?,?,?,?,3.1,?,?,?,5.6,0,?,?,?,?,8.3,?,0,0,?,?,0,?,?,?,?,?,?,?,8.6,?,?,?,?,?,?,0,?,?,7.5,5.5,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,Ativo
M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,Evadido
M,?,7.45,?,?,?,7.8,?,?,?,?,?,6.5,0.5,9.75,5.5,?,?,?,?,7.75,?,?,?,?,?,?,?,?,?,?,?,?,?,6.5,?,?,?,?,?,?,?,?,?,?,?,2.675,?,?,?,8.125,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.1,?,?,?,?,?,?,?,?,?,6.3,6,?,?,?,8,?,?,?,?,?,?,?,3.05,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.8,?,3.125,?,?,4.4,?,5.633333333,?,?,?,8.45,?,?,?,5.25,?,1.875,?,?,?,?,?,?,?,?,?,?,0.25,?,?,?,?,?,?,?,?,?,?,7.05,8.75,?,6.1875,?,?,5.8875,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Ativo
M,?,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,2.5,?,?,?,?,?,2.4,?,2.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.7,?,?,?,?,?,?,Evadido
F,?,7.35,?,?,?,4.225,?,?,?,?,?,0,0,7.5,4.25,?,?,?,?,7.75,?,?,?,?,?,?,?,?,?,?,?,?,?,1.6,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,2.625,?,?,?,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,1.65,?,?,?,?,?,?,?,?,?,4.8,5.9,?,?,?,6.5,?,?,?,?,?,?,?,1.625,?,?,?,?,6.15,?,?,?,?,?,?,?,?,?,?,?,?,7,0,?,2,?,?,2.7,?,4.35,?,?,?,8.725,?,?,?,2.5,?,3.75,?,?,?,?,?,?,?,?,?,?,0,?,?,0,?,?,?,?,?,?,?,7,7.875,?,2.6875,?,?,3.95,?,?,?,?,?,?,?,?,6.15,?,?,?,?,?,?,Ativo
M,?,?,?,?,?,7,?,?,?,?,?,?,?,9.05,6.25,?,?,?,?,7.5,?,?,?,?,?,?,?,?,?,?,?,?,?,6.6,?,?,?,?,?,?,?,?,?,?,?,7.85,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8.1,?,?,?,?,?,?,?,?,?,8.6,7,?,?,?,8.875,?,?,?,?,?,?,?,1.95,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.75,2.8,?,?,?,?,5.3,?,7.35,?,?,?,8.35,?,?,?,4.65,?,1.875,?,?,?,?,?,?,?,?,?,?,0.5,?,?,9,?,?,?,?,?,?,?,7.05,8.625,?,4.625,?,?,4.85,?,?,?,?,?,?,?,?,5.4,?,?,?,?,?,?,Ativo
M,?,1.45,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,3.5,?,?,?,?,?,2.75,?,0.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.95,?,?,?,?,?,?,Ativo
M,?,?,?,?,?,6.1875,?,?,?,?,?,2.65,?,7.75,5.5,?,?,?,?,7.333333333,?,?,?,?,?,?,?,?,?,?,?,?,?,6.4,?,?,?,?,?,?,?,?,?,?,?,7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.7,?,?,?,?,?,?,?,?,?,7.9,7.75,?,?,?,7.675,?,?,?,?,?,?,?,2.55,?,?,?,?,9.45,?,?,?,?,?,?,?,?,?,?,?,?,8.5,7,?,?,?,?,4.65,?,6.25,?,?,?,7.975,?,?,?,2,?,3,?,?,?,?,?,?,?,?,?,?,0.1,?,?,3.25,?,?,?,?,?,?,?,6.75,7.9,?,8.4,?,?,8.075,?,?,?,?,?,?,?,?,5.15,?,?,?,?,?,?,Ativo
M,?,7.7,?,?,?,4.76,?,?,?,?,?,0,?,7.875,5.75,?,?,?,?,8.75,?,?,?,?,?,?,?,?,?,?,?,?,?,5.15,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.25,?,?,?,?,?,?,?,?,3.1,?,?,?,?,?,?,?,?,?,5.1,7.5,?,?,?,8.175,?,?,?,?,?,?,?,4,?,?,?,?,5.25,?,?,?,?,?,?,?,?,?,?,?,?,7.25,4.4,?,?,?,?,4.45,?,5.2,?,?,?,8.325,?,?,?,5.25,?,4,?,?,?,?,?,?,?,?,?,?,1.6,?,?,3.5,?,?,?,?,?,?,?,4.95,7.875,?,1.375,?,?,0.85,?,?,?,?,?,?,?,?,4.5,?,?,?,?,?,?,Ativo
M,?,7.2,?,?,?,4.775,?,?,?,?,?,8.5,?,9.375,5.25,?,?,?,?,7,?,?,?,?,?,?,?,?,?,?,?,?,?,5.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.375,?,?,?,?,?,?,?,?,?,6,?,?,?,?,?,?,?,?,5.15,?,?,?,?,?,?,?,?,?,7.7,8.75,?,?,?,6,?,?,?,?,?,?,?,4.025,?,?,?,?,7.15,?,?,?,?,?,?,?,?,?,?,?,?,8,7,?,?,?,?,6.75,?,7,?,?,?,6.75,?,?,?,3,?,5,?,?,?,?,?,?,?,?,?,?,7.3,?,?,?,?,?,?,?,?,?,?,5.125,8,?,4,?,?,6.4125,?,?,?,?,?,?,?,?,6.4,?,?,?,?,?,?,Ativo
M,?,5.9,?,?,?,0,?,?,?,?,?,?,?,?,0.5,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,4.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.4,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,7.65,?,?,?,?,?,?,?,?,?,?,?,?,6,0,?,?,?,?,4.8,?,5.35,?,?,?,0,?,?,?,2.5,?,?,?,?,?,?,?,?,?,?,?,?,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5,?,?,?,?,?,?,Ativo
M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,Evadido
M,?,7.95,?,?,?,5.95,?,?,?,?,?,?,?,?,4.75,?,?,?,?,7.5,?,?,?,?,?,?,?,?,?,?,?,?,?,5.95,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.4,?,?,?,?,?,?,?,?,?,?,?,2.6,?,?,?,?,5.5,?,?,?,?,?,?,?,?,?,?,?,?,7.25,5.5,?,?,?,?,6.25,?,6.7,?,?,?,8.625,?,?,?,5.5,?,2.875,?,?,?,?,?,?,?,?,?,?,2.35,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.6,?,?,?,?,?,?,Evadido
M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,Evadido
M,?,5.4,?,?,?,2.625,?,?,?,?,?,?,?,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,?,?,?,?,?,7.45,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.9,?,?,?,?,8.2,?,?,?,?,?,?,?,?,?,?,?,?,5.5,?,?,?,?,?,4.1,?,6.8,?,?,?,3.65,?,?,?,?,?,0.25,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.55,?,?,?,?,?,?,Ativo
M,?,0.75,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.65,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5,?,?,?,?,?,?,?,?,?,?,?,?,1.75,0,?,?,?,?,2,?,1.4,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.2,?,?,?,?,?,?,Ativo
M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,2.75,?,?,?,?,?,0.45,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,Ativo
F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,Evadido
M,?,2.75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.75,?,?,?,?,?,?,?,?,?,?,?,?,3,?,?,?,?,?,3.2,?,4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.05,?,?,?,?,?,?,Ativo
M,?,7.25,?,?,?,7.5,?,?,?,?,?,?,?,9.75,8,?,?,?,?,7.75,?,?,?,?,?,10,?,?,?,?,?,?,?,5.65,?,?,?,?,?,?,?,7.5,?,?,?,?,?,?,?,9,?,?,?,?,?,?,?,?,?,7.25,?,?,?,?,?,?,?,?,7.9,?,?,?,?,?,?,?,?,?,5.9,8.75,?,?,?,8,?,?,7.15,?,?,?,?,7.05,?,?,?,?,8.45,?,?,?,?,?,?,?,?,?,?,?,?,9,9,?,?,?,?,6.6,?,8.15,?,?,?,8.75,?,?,?,9.25,?,7,?,?,?,?,?,?,?,?,?,?,7.25,?,?,?,?,?,?,?,?,?,?,8.825,9.45,?,5.125,?,?,7.575,?,?,?,?,?,?,?,?,7.65,?,7.375,?,0,?,?,Ativo
M,?,9.9,?,?,?,7.675,?,?,?,?,?,?,?,8.625,8.25,?,?,?,?,8,?,?,?,?,?,10,?,?,?,?,?,?,?,7.75,?,?,?,?,?,?,?,8.25,?,?,?,?,?,?,?,9,?,?,?,?,?,?,?,?,?,8,?,?,?,?,?,?,?,?,3.2,?,?,?,?,?,?,?,?,?,4.95,9,?,?,?,8.125,?,?,7.35,?,?,?,?,5.5,?,?,?,?,8.7,?,?,?,?,?,?,?,?,?,?,?,?,8.5,8.5,?,?,?,?,5.85,?,8.3,?,?,?,8.025,?,?,?,8.75,?,7.5,?,?,?,?,?,?,?,?,?,?,7.9,?,?,?,?,?,?,?,?,?,?,7,9.75,?,4,?,?,2.9,?,?,?,?,?,?,?,?,7.3,?,7,?,3.5,?,?,Ativo
M,?,8.95,?,?,?,8.575,?,?,?,?,?,?,?,10,7.25,?,?,?,?,9.75,?,?,?,?,?,10,?,?,?,?,?,?,?,7.1,?,?,?,?,?,?,?,8,?,?,?,?,?,?,?,9,?,?,?,?,?,?,?,?,?,7,?,?,?,?,?,?,?,?,6.8,?,?,?,?,?,?,?,?,?,?,9.25,?,?,?,8.75,?,?,7.525,?,?,?,?,8.675,?,?,?,?,7.9,?,?,?,8.8,?,?,?,?,?,?,?,?,8.5,9,?,?,?,?,7.55,?,6.85,?,?,?,9.1,?,?,?,9.75,?,9.25,?,?,?,?,?,?,?,?,?,?,10,?,?,?,?,?,?,?,?,?,?,8.75,10,?,8.75,?,?,8.25,?,?,?,?,?,?,?,?,8.65,?,7.625,?,8.7,?,?,Ativo
M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,Evadido
